miRNA	DSC_27_23_EKB_20250506_1	DSC_27_23_EKB_20250506_2	DSC_28_23_EKB_20250502_1	DSC_28_23_EKB_20250502_2	DSC_29_23_EKB_20250502_1	DSC_29_23_EKB_20250502_2	DSC_30_23_EKB_20250506_1	DSC_30_23_EKB_20250506_2	DSC_31_23_EKB_20250506_1	DSC_31_23_EKB_20250506_2	DSC_32_23_EKB_20250507_1	DSC_32_23_EKB_20250507_2	Melanocytes_27_23_EKB_20250502_1	Melanocytes_27_23_EKB_20250502_2	Melanocytes_29_23_EKB_20250506_1	Melanocytes_29_23_EKB_20250506_2	Melanocytes_30_23_EKB_20250502_1	Melanocytes_30_23_EKB_20250502_2	Melanocytes_31_23_EKB_20250507_1	Melanocytes_31_23_EKB_20250507_2	Melanocytes_32_23_EKB_20250507_1	Melanocytes_32_23_EKB_20250507_2
hsa-miR-3910	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	5	2	0	0
hsa-miR-4709-5p	0	0	0	0	0	0	0	1	1	0	1	2	0	4	1	0	0	0	1	0	0	0
hsa-miR-513b-5p	350	436	672	437	1773	774	1259	1109	1800	1478	1013	1293	499	1252	1274	1226	459	538	1533	913	1788	1970
hsa-miR-4761-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6872-5p	0	1	3	6	4	7	3	8	6	6	7	3	3	0	1	0	1	0	5	1	0	0
hsa-miR-665	574	831	1755	1415	1569	1310	1607	1474	1126	1143	1119	1049	0	1	0	7	2	11	12	2	10	4
hsa-miR-10523-5p	1	0	0	0	0	0	0	1	0	1	0	1	1	1	3	0	3	1	4	1	2	0
hsa-miR-300	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	1	1	0	0
hsa-miR-125b-2-3p	186	325	537	421	239	214	614	531	204	247	211	240	36	89	104	235	107	155	190	139	223	261
hsa-miR-6779-3p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0
hsa-miR-2276-3p	0	1	9	6	2	5	12	5	8	9	1	6	5	4	0	5	3	8	6	12	7	8
hsa-miR-3611	15	19	53	35	47	21	70	46	48	48	33	34	24	42	44	38	52	38	41	19	43	57
hsa-miR-4801	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	1	5	0	1
hsa-miR-196a-3p	5	0	6	4	3	2	5	5	3	0	6	4	9	0	3	2	1	0	0	1	0	0
hsa-miR-5699-5p	20	14	44	32	48	34	33	38	75	34	36	35	25	75	35	47	8	40	44	20	92	138
hsa-miR-151a-3p	3884	5672	11830	7909	12257	8163	10664	8597	18553	17804	9058	10674	2155	4862	4636	5199	2601	3203	7476	4207	10158	10408
hsa-miR-187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3161	0	0	3	0	0	0	12	1	2	1	0	0	0	0	0	0	9	3	3	2	0	1
hsa-miR-6809-5p	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	3	0	3	0	3	2
hsa-miR-4261	1	0	3	0	5	1	0	7	4	6	4	6	29	90	51	56	38	23	16	21	1	1
hsa-miR-539-3p	43	29	57	43	62	47	69	89	69	21	34	54	0	0	0	0	0	0	2	0	0	0
hsa-miR-487a-3p	686	831	1769	1280	2390	1334	1920	1548	1621	1262	1066	1534	0	2	14	2	0	1	2	0	7	3
hsa-miR-4753-5p	1	0	1	0	0	1	0	2	1	3	1	0	0	0	0	4	1	0	0	0	0	3
hsa-miR-624-3p	4	3	13	9	10	14	2	8	16	4	10	10	2	5	5	22	10	11	18	6	13	21
hsa-miR-30c-2-3p	98	140	169	144	141	82	164	174	150	164	80	110	26	63	64	66	30	42	95	45	142	133
hsa-miR-5580-3p	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1
hsa-miR-21-3p	684	986	2045	1178	1169	857	1800	1505	2073	1402	806	1139	106	295	158	232	98	125	336	134	396	423
hsa-miR-532-3p	625	447	504	398	1098	475	574	338	977	630	538	462	390	576	541	578	174	234	922	583	1339	883
hsa-miR-500a-3p	774	1206	2625	2092	2435	1855	2185	1849	3607	3311	2126	2609	1735	4203	2432	3774	1485	2146	9248	5844	6495	7249
hsa-miR-1298-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1
hsa-miR-5689	0	2	1	1	1	1	4	3	9	1	8	1	0	1	1	6	3	7	17	1	1	1
hsa-miR-649	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	3	12	0	0	1
hsa-miR-490-5p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
