miRNA	d8	d10	d4	d12	d5	d17	d35	d11	d18	d22	d7	d14	d2	d16	d6	d27	d9	d20	d1	d19	d15	d13	d3	d21	d23	d39	d24	d40	d42	d25	d26	d28	d29	d30	d31	d32	d33	d34	m3	m5	m7	d36	d37	d38	d41	m13	d45	d47	d46	d48	m11	d43	m1	m17	m9	d44	m2	m15	m8	m10	m19	m6	m18	m27	m28	m21	m12	m16	m4	m36	m22	m14	m38	m32	m20	m29	m23	m26	m30	m35	m34	m31	m39	m37	m40	m33	m24	m25
hsa-miR-138-5p	7372	5959	11916	7689	5138	8400	6229	5735	5476	5211	7008	5493	6896	4775	5617	3581	11980	8339	3427	6373	5579	5535	7836	7769	6222	8618	7632	6110	7663	5735	4869	4971	5012	5559	2870	6371	5669	5791	487	927	309	8107	6553	8659	11634	1257	7649	6146	7158	7273	494	9369	325	343	1159	9051	943	1270	748	1210	295	758	149	410	555	342	2189	1031	1328	887	212	1290	254	559	413	491	365	428	710	447	702	404	694	1534	859	1161	616	797
hsa-miR-138-1-3p	1	1	2	0	1	1	1	1	0	0	0	0	1	4	5	0	0	0	3	0	4	2	3	5	6	1	2	0	0	0	4	0	0	0	1	1	0	1	0	0	0	3	1	1	3	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-16-5p	1412	1060	2014	1167	960	1720	1105	962	982	1127	1113	1028	1163	680	966	1099	1772	1350	630	1024	984	1069	1343	1291	1068	1390	1683	967	1360	2020	1739	1136	1722	1864	738	1646	1082	1174	133	229	111	1533	1390	1685	2031	267	1378	1090	1759	1193	107	1627	121	147	256	1860	225	269	216	258	147	200	74	162	243	152	484	211	329	327	138	258	94	152	165	196	157	168	227	247	361	171	325	428	523	499	369	355
hsa-miR-181a-5p	5487	7198	7754	7908	3616	6667	6827	5567	3980	3672	3842	6844	4717	4111	4251	5967	13609	5807	2471	3983	4164	6585	6250	6120	4053	6471	5981	6313	8080	12304	8599	5998	9489	9524	2942	8550	6681	7004	542	1546	309	8941	8488	9295	9864	2787	8400	3516	6078	6130	932	7345	519	1352	2498	9808	1115	2468	1043	2750	1309	1135	639	528	820	1728	4501	1434	2230	5695	1110	2658	902	917	2160	529	1254	393	899	2015	3282	502	2199	6914	4298	5312	3738	1003
hsa-miR-222-5p	3	2	7	5	2	3	1	0	3	3	4	0	12	6	8	2	0	7	0	1	0	3	6	4	0	1	3	3	5	0	3	1	1	0	3	0	1	1	1	3	0	3	2	4	4	0	2	2	0	3	0	2	1	0	0	10	0	3	4	5	0	1	0	0	0	2	2	0	0	0	3	4	0	2	0	1	12	0	0	0	0	2	1	0	0	1	0	0
hsa-miR-222-3p	2044	1209	2544	1432	1042	2843	1245	1084	1875	1799	1295	848	1905	1108	1241	805	2375	2362	1335	1767	1028	1311	2214	1988	1923	1407	2003	1490	1526	1663	1274	1040	1139	1402	857	1690	1166	1157	20	56	28	1712	1322	1834	1932	212	1820	1549	2580	1486	109	1581	14	101	258	2193	43	247	43	200	169	32	52	58	135	106	311	147	62	656	100	178	145	61	121	40	129	41	134	409	552	41	435	647	864	985	372	106
hsa-miR-4284	823	177	746	246	273	281	191	103	730	657	769	100	595	396	338	218	208	314	2055	213	314	137	557	772	842	608	204	443	111	637	526	608	1388	241	194	1125	181	136	576	895	931	310	183	362	339	1056	134	189	202	437	906	1006	423	579	1462	556	787	1128	1117	1981	451	871	282	658	2231	429	2182	1068	1942	1198	517	1657	499	872	732	1049	458	890	987	964	1041	784	1108	1934	2785	4404	1279	2126
hsa-let-7b-5p	4667	2973	5461	2592	2328	5175	2140	2162	3356	3804	2600	2566	3211	2348	2854	2425	6888	4571	1920	3669	2048	2665	4384	4654	2544	2275	5174	2247	3391	5204	4548	2487	4625	4039	1583	4014	2369	2622	39	113	42	2609	3121	3359	4375	258	2826	1655	2773	3055	115	3150	35	115	298	3929	79	290	75	287	115	69	77	85	207	108	459	303	180	226	75	286	56	178	213	95	97	91	212	143	213	160	167	275	293	431	514	198
hsa-let-7b-3p	3	2	13	3	1	16	7	4	7	5	1	4	6	5	8	3	21	3	8	4	2	7	7	6	7	0	8	4	11	11	5	4	2	12	9	2	3	6	0	3	0	5	7	16	1	1	2	2	3	3	0	5	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
hsa-miR-15a-5p	105	104	161	134	77	141	104	62	82	95	118	100	126	63	88	99	162	96	64	95	85	84	126	140	94	104	122	113	112	195	150	112	157	148	50	166	98	141	52	117	33	139	127	163	194	40	126	104	167	85	22	142	43	15	50	167	135	41	81	44	42	73	14	35	136	17	68	29	136	59	37	32	24	78	52	91	40	85	145	43	49	76	39	107	91	76	52	175
