ID,run,sample,donor,replicate,cell,Passage,Seeding date,seeded cells x 105,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,read_count,mean_quality_score_pf,Q30 fraction,read_name
DSC_27_23_EKB_20240924_1,EKB_20240924,DSC_27_23,27_23,rep1,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,2.8,17,286,2.69,6171608,32.17,0.89,DSC_27_23_EKB_20240924_1_S5_R1_001.fastq.gz
DSC_28_23_EKB_20240924_1,EKB_20240924,DSC_28_23,28_23,rep1,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,nd,18,300,7.28,6652603,32.01,0.88,DSC_28_23_EKB_20240924_1_S25_R1_001.fastq.gz
DSC_29_23_EKB_20240924_1,EKB_20240924,DSC_29_23,29_23,rep1,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,nd,17,302,2.45,4436890,32.44,0.9,DSC_29_23_EKB_20240924_1_S7_R1_001.fastq.gz
DSC_30_23_EKB_20240924_1,EKB_20240924,DSC_30_23,30_23,rep1,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,nd,18,292,3.76,8706995,32.12,0.88,DSC_30_23_EKB_20240924_1_S29_R1_001.fastq.gz
DSC_31_23_EKB_20240924_1,EKB_20240924,DSC_31_23,31_23,rep1,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,nd,18,300,10.9,8961392,32.09,0.88,DSC_31_23_EKB_20240924_1_S32_R1_001.fastq.gz
DSC_27_23_EKB_20240924_2,EKB_20240924,DSC_27_23,27_23,rep2,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,nd,19,289,12.8,5942341,32.07,0.88,DSC_27_23_EKB_20240924_2_S56_R1_001.fastq.gz
DSC_28_23_EKB_20240924_2,EKB_20240924,DSC_28_23,28_23,rep2,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,nd,19,319,9.21,8215900,32.39,0.9,DSC_28_23_EKB_20240924_2_S59_R1_001.fastq.gz
DSC_29_23_EKB_20240924_2,EKB_20240924,DSC_29_23,29_23,rep2,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,nd,19,310,17.3,6221711,32.26,0.89,DSC_29_23_EKB_20240924_2_S62_R1_001.fastq.gz
DSC_30_23_EKB_20240924_2,EKB_20240924,DSC_30_23,30_23,rep2,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,nd,19,316,1.58,6027911,32.48,0.9,DSC_30_23_EKB_20240924_2_S65_R1_001.fastq.gz
DSC_31_23_EKB_20240924_2,EKB_20240924,DSC_31_23,31_23,rep2,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,19,294,8.67,10081691,32.29,0.89,DSC_31_23_EKB_20240924_2_S68_R1_001.fastq.gz
DSC_03_24_EKB_20240924_1,EKB_20240924,DSC_03_24,03_24,rep1,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,18,285,7.34,6628846,31.88,0.87,DSC_03_24_EKB_20240924_1_S35_R1_001.fastq.gz
DSC_03_24_EKB_20240924_2,EKB_20240924,DSC_03_24,03_24,rep2,DSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,nd,18,291,5.44,7467746,32.17,0.89,DSC_03_24_EKB_20240924_2_S38_R1_001.fastq.gz
Melanocytes_27_23_EKB_20240924_1,EKB_20240924,Melanocytes_27_23,27_23,rep1,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,6.8,17,346,6.98,6898253,32.13,0.88,Melanocytes_27_23_EKB_20240924_1_S2_R1_001.fastq.gz
Melanocytes_28_23_EKB_20240924_1,EKB_20240924,Melanocytes_28_23,28_23,rep1,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,513,nd,17,325,3.39,5082669,32.23,0.89,Melanocytes_28_23_EKB_20240924_1_S4_R1_001.fastq.gz
Melanocytes_29_23_EKB_20240924_1,EKB_20240924,Melanocytes_29_23,29_23,rep1,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,18,265,4.52,5098712,31.75,0.86,Melanocytes_29_23_EKB_20240924_1_S12_R1_001.fastq.gz
Melanocytes_30_23_EKB_20240924_1,EKB_20240924,Melanocytes_30_23,30_23,rep1,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,nd,18,271,395,2482107,31.76,0.86,Melanocytes_30_23_EKB_20240924_1_S15_R1_001.fastq.gz
Melanocytes_31_23_EKB_20240924_1,EKB_20240924,Melanocytes_31_23,31_23,rep1,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,18,306,9.83,5977205,32.24,0.89,Melanocytes_31_23_EKB_20240924_1_S18_R1_001.fastq.gz
Melanocytes_27_23_EKB_20240924_2,EKB_20240924,Melanocytes_27_23,27_23,rep2,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,nd,19,300,7.11,5226669,32.21,0.89,Melanocytes_27_23_EKB_20240924_2_S41_R1_001.fastq.gz
Melanocytes_28_23_EKB_20240924_2,EKB_20240924,Melanocytes_28_23,28_23,rep2,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,19,319,12.5,6435299,32.36,0.9,Melanocytes_28_23_EKB_20240924_2_S44_R1_001.fastq.gz
Melanocytes_29_23_EKB_20240924_2,EKB_20240924,Melanocytes_29_23,29_23,rep2,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,19,310,17.8,5702669,32.1,0.88,Melanocytes_29_23_EKB_20240924_2_S47_R1_001.fastq.gz
Melanocytes_30_23_EKB_20240924_2,EKB_20240924,Melanocytes_30_23,30_23,rep2,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,19,333,13.6,6778979,32.34,0.89,Melanocytes_30_23_EKB_20240924_2_S50_R1_001.fastq.gz
Melanocytes_31_23_EKB_20240924_2,EKB_20240924,Melanocytes_31_23,31_23,rep2,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,nd,19,330,5.47,4362450,32.41,0.9,Melanocytes_31_23_EKB_20240924_2_S53_R1_001.fastq.gz
Melanocytes_03_24_EKB_20240924_1,EKB_20240924,Melanocytes_03_24,03_24,rep1,Melanocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,nd,18,282,13.9,8538413,31.4,0.85,Melanocytes_03_24_EKB_20240924_1_S21_R1_001.fastq.gz
DSC_27_23_EKB_20250410_1,EKB_20250410,DSC_27_23,27_23,rep1,DSC,9,10.01.2025,7,29.01.2025,0.8,1,0.8,99.85,91.38,500,9.9,15,414,2.11,10452127,38.09,0.91,DSC_27_23_EKB_20250410_1_S1_R1_001.fastq.gz
DSC_27_23_EKB_20250410_2,EKB_20250410,DSC_27_23,27_23,rep2,DSC,9,10.01.2025,7,30.01.2025,1.57,2,0.62,99.8,88.71,500,10,15,396,0.76,9153933,37.71,0.89,DSC_27_23_EKB_20250410_2_S5_R1_001.fastq.gz
DSC_29_23_EKB_20250410_1,EKB_20250410,DSC_29_23,29_23,rep1,DSC,7,10.01.2025,7,22.01.2025,3,3,1,99.85,91.38,500,10,15,445,2.92,9125331,38.23,0.91,DSC_29_23_EKB_20250410_1_S9_R1_001.fastq.gz
DSC_29_23_EKB_20250410_2,EKB_20250410,DSC_29_23,29_23,rep2,DSC,7,10.01.2025,7,22.01.2025,3.57,3,1.16,99.8,88.71,500,9.4,15,435,3.13,10082980,38.18,0.91,DSC_29_23_EKB_20250410_2_S23_R1_001.fastq.gz
DSC_30_23_EKB_20250410_1,EKB_20250410,DSC_30_23,30_23,rep1,DSC,8,06.03.2025,7.2,19.03.2025,1.05,1,1.05,99.44,91.94,500,10,15,415,2.45,10723799,37.82,0.9,DSC_30_23_EKB_20250410_1_S27_R1_001.fastq.gz
DSC_30_23_EKB_20250410_2,EKB_20250410,DSC_30_23,30_23,rep2,DSC,8,06.03.2025,7.2,20.03.2025,0.92,1,0.92,99.76,92.65,500,10,15,429,4,9416021,38.2,0.91,DSC_30_23_EKB_20250410_2_S31_R1_001.fastq.gz
DSC_31_23_EKB_20250417_1,EKB_20250417,DSC_31_23,31_23,rep1,DSC,6,04.02.2025,10,12.02.2025,1.5,2,0.75,99.42,91.94,288.5,9.8,15,410,3.7,11325750,38.61,0.93,DSC_31_23_EKB_20250417_1_S8_R1_001.fastq.gz
DSC_31_23_EKB_20250417_2,EKB_20250417,DSC_31_23,31_23,rep2,DSC,6,04.02.2025,10,13.02.2025,0.92,2,0.46,99.75,88.17,216,9.9,15,423,1.7,9149040,38.51,0.93,DSC_31_23_EKB_20250417_2_S12_R1_001.fastq.gz
DSC_32_23_EKB_20250417_1,EKB_20250417,DSC_32_23,32_23,rep1,DSC,6,10.01.2025,7,22.01.2025,3.1,3,1,99.85,91.94,500,9.9,15,395,5.8,10330452,38.34,0.92,DSC_32_23_EKB_20250417_1_S34_R1_001.fastq.gz
DSC_32_23_EKB_20250417_2,EKB_20250417,DSC_32_23,32_23,rep2,DSC,6,10.01.2025,7,22.01.2025,2.87,2,1.4,99.75,92.25,500,9.8,15,444,4.1,10320380,38.67,0.93,DSC_32_23_EKB_20250417_2_S16_R1_001.fastq.gz
DSC_28_23_EKB_20250417_1,EKB_20250417,DSC_28_23,28_23,rep1,DSC,6,24.01.2025,9,29.01.2025,1.57,2,0.78,99.7,86.32,500,9.8,15,416,4.4,11817965,38.6,0.93,DSC_28_23_EKB_20250417_1_S1_R1_001.fastq.gz
Melanocytes_27_23_EKB_20250410_1,EKB_20250410,Melanocytes_27_23,27_23,rep1,Melanocytes,8,28.01.2025,2.65,05.02.2025,1.5,2,0.75,n. d.,84.96,500,9.7,15,386,3.55,10829800,38.04,0.9,Melanocytes_27_23_EKB_20250410_1_S13_R1_001.fastq.gz
Melanocytes_27_23_EKB_20250410_2,EKB_20250410,Melanocytes_27_23,27_23,rep2,Melanocytes,8,28.01.2025,2.65,06.02.2025,1.9,2,0.95,n. d.,80.18,500,9.7,15,414,3.24,11516435,37.92,0.9,Melanocytes_27_23_EKB_20250410_2_S17_R1_001.fastq.gz
Melanocytes_29_23_EKB_20250410_1,EKB_20250410,Melanocytes_29_23,29_23,rep1,Melanocytes,13,28.01.2025,2.28,05.02.2025,1.52,2,0.76,n. d.,75.93,500,9.8,15,411,1.4,12674331,37.84,0.9,Melanocytes_29_23_EKB_20250410_1_S21_R1_001.fastq.gz
Melanocytes_29_23_EKB_20250410_2,EKB_20250410,Melanocytes_29_23,29_23,rep2,Melanocytes,13,28.01.2025,2.28,06.02.2025,1.6,2,0.8,n. d.,76.73,500,9.7,15,390,1.85,9300738,37.93,0.9,Melanocytes_29_23_EKB_20250410_2_S33_R1_001.fastq.gz
Melanocytes_30_23_EKB_20250410_1,EKB_20250410,Melanocytes_30_23,30_23,rep1,Melanocytes,7,06.03.2025,4,12.03.2025,1.2,1,1.2,n. d.,78.34,500,8.3,15,335,0.84,9896713,37.63,0.88,Melanocytes_30_23_EKB_20250410_1_S37_R1_001.fastq.gz
Melanocytes_30_23_EKB_20250410_2,EKB_20250410,Melanocytes_30_23,30_23,rep2,Melanocytes,7,06.03.2025,4,13.03.2025,2,2,1,n. d.,76.17,500,8.3,15,357,1.99,7827764,37.78,0.89,Melanocytes_30_23_EKB_20250410_2_S41_R1_001.fastq.gz
Melanocytes_31_23_EKB_20250417_1,EKB_20250417,Melanocytes_31_23,31_23,rep1,Melanocytes,12,06.02.2025,2.75,12.02.2025,1.1,2,0.55,n. d.,77.16,463.5,9.8,15,397,2.1,9658176,38.39,0.92,Melanocytes_31_23_EKB_20250417_1_S20_R1_001.fastq.gz
