ID,run,sample,donor,cell,Passage,Seeding date,seeded cells x 105,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,read_name,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,paired_end,replicate,read_name_R1,read_name_R2
DSC_27_23_EKB_20250506_1,EKB_20250506,DSC_27_23,27_23,DSC,9,10.01.2025,7,29.01.2025,0.8,1,0.8,99.85,91.38,DSC_27_23_EKB_20250506_1_S1_R1_001.fastq.gz;DSC_27_23_EKB_20250506_1_S1_R2_001.fastq.gz,500,9.9,16,189,0.65,TRUE,rep1,DSC_27_23_EKB_20250506_1_S1_R1_001.fastq.gz,DSC_27_23_EKB_20250506_1_S1_R2_001.fastq.gz
DSC_27_23_EKB_20250506_2,EKB_20250506,DSC_27_23,27_23,DSC,9,10.01.2025,7,30.01.2025,1.57,2,0.62,99.8,88.71,DSC_27_23_EKB_20250506_2_S5_R1_001.fastq.gz;DSC_27_23_EKB_20250506_2_S5_R2_001.fastq.gz,500,10,16,193,2.1,TRUE,rep2,DSC_27_23_EKB_20250506_2_S5_R1_001.fastq.gz,DSC_27_23_EKB_20250506_2_S5_R2_001.fastq.gz
DSC_28_23_EKB_20250502_1,EKB_20250502,DSC_28_23,28_23,DSC,6,24.01.2025,9,29.01.2025,1.57,2,0.78,99.7,86.32,DSC_28_23_EKB_20250502_1_S1_R1_001.fastq.gz;DSC_28_23_EKB_20250502_1_S1_R2_001.fastq.gz,500,9.8,16,191,1.97,TRUE,rep1,DSC_28_23_EKB_20250502_1_S1_R1_001.fastq.gz,DSC_28_23_EKB_20250502_1_S1_R2_001.fastq.gz
DSC_28_23_EKB_20250502_2,EKB_20250502,DSC_28_23,28_23,DSC,6,24.01.2025,9,30.01.2025,2.47,2,2.47,99.86,93.18,DSC_28_23_EKB_20250502_2_S5_R1_001.fastq.gz;DSC_28_23_EKB_20250502_2_S5_R2_001.fastq.gz,500,9.9,16,176,1.86,TRUE,rep2,DSC_28_23_EKB_20250502_2_S5_R1_001.fastq.gz,DSC_28_23_EKB_20250502_2_S5_R2_001.fastq.gz
DSC_29_23_EKB_20250502_1,EKB_20250502,DSC_29_23,29_23,DSC,7,10.01.2025,7,22.01.2025,3,3,1,99.85,91.38,DSC_29_23_EKB_20250502_1_S9_R1_001.fastq.gz;DSC_29_23_EKB_20250502_1_S9_R2_001.fastq.gz,500,10,16,204,1.05,TRUE,rep1,DSC_29_23_EKB_20250502_1_S9_R1_001.fastq.gz,DSC_29_23_EKB_20250502_1_S9_R2_001.fastq.gz
DSC_29_23_EKB_20250502_2,EKB_20250502,DSC_29_23,29_23,DSC,7,10.01.2025,7,22.01.2025,3.57,3,1.16,99.8,88.71,DSC_29_23_EKB_20250502_2_S13_R1_001.fastq.gz;DSC_29_23_EKB_20250502_2_S13_R2_001.fastq.gz,500,9.4,16,188,2.49,TRUE,rep2,DSC_29_23_EKB_20250502_2_S13_R1_001.fastq.gz,DSC_29_23_EKB_20250502_2_S13_R2_001.fastq.gz
DSC_30_23_EKB_20250506_1,EKB_20250506,DSC_30_23,30_23,DSC,8,06.03.2025,7.2,19.03.2025,1.05,1,1.05,99.44,91.94,DSC_30_23_EKB_20250506_1_S9_R1_001.fastq.gz;DSC_30_23_EKB_20250506_1_S9_R2_001.fastq.gz,500,10,16,198,0.94,TRUE,rep1,DSC_30_23_EKB_20250506_1_S9_R1_001.fastq.gz,DSC_30_23_EKB_20250506_1_S9_R2_001.fastq.gz
DSC_30_23_EKB_20250506_2,EKB_20250506,DSC_30_23,30_23,DSC,8,06.03.2025,7.2,20.03.2025,0.92,1,0.92,99.76,92.65,DSC_30_23_EKB_20250506_2_S13_R1_001.fastq.gz;DSC_30_23_EKB_20250506_2_S13_R2_001.fastq.gz,500,10,16,190,2.82,TRUE,rep2,DSC_30_23_EKB_20250506_2_S13_R1_001.fastq.gz,DSC_30_23_EKB_20250506_2_S13_R2_001.fastq.gz
DSC_31_23_EKB_20250506_1,EKB_20250506,DSC_31_23,31_23,DSC,6,04.02.2025,10,12.02.2025,1.5,2,0.75,99.42,91.94,DSC_31_23_EKB_20250506_1_S25_R1_001.fastq.gz;DSC_31_23_EKB_20250506_1_S25_R2_001.fastq.gz,288.5,9.8,16,204,3.95,TRUE,rep1,DSC_31_23_EKB_20250506_1_S25_R1_001.fastq.gz,DSC_31_23_EKB_20250506_1_S25_R2_001.fastq.gz
DSC_31_23_EKB_20250506_2,EKB_20250506,DSC_31_23,31_23,DSC,6,04.02.2025,10,13.02.2025,0.92,2,0.46,99.75,88.17,DSC_31_23_EKB_20250506_2_S29_R1_001.fastq.gz;DSC_31_23_EKB_20250506_2_S29_R2_001.fastq.gz,216,9.9,16,194,2.45,TRUE,rep2,DSC_31_23_EKB_20250506_2_S29_R1_001.fastq.gz,DSC_31_23_EKB_20250506_2_S29_R2_001.fastq.gz
DSC_32_23_EKB_20250507_1,EKB_20250507,DSC_32_23,32_23,DSC,6,10.01.2025,7,22.01.2025,3.1,3,1,99.85,91.94,DSC_32_23_EKB_20250507_1_S1_R1_001.fastq.gz;DSC_32_23_EKB_20250507_1_S1_R2_001.fastq.gz,500,9.9,16,200,3.79,TRUE,rep1,DSC_32_23_EKB_20250507_1_S1_R1_001.fastq.gz,DSC_32_23_EKB_20250507_1_S1_R2_001.fastq.gz
DSC_32_23_EKB_20250507_2,EKB_20250507,DSC_32_23,32_23,DSC,6,10.01.2025,7,22.01.2025,2.87,2,1.4,99.75,92.25,DSC_32_23_EKB_20250507_2_S5_R1_001.fastq.gz;DSC_32_23_EKB_20250507_2_S5_R2_001.fastq.gz,500,9.8,16,194,3.99,TRUE,rep2,DSC_32_23_EKB_20250507_2_S5_R1_001.fastq.gz,DSC_32_23_EKB_20250507_2_S5_R2_001.fastq.gz
Melanocytes_27_23_EKB_20250502_1,EKB_20250502,Melanocytes_27_23,27_23,Melanocytes,8,28.01.2025,2.65,05.02.2025,1.5,2,0.75,n. d.,84.96,Melanocytes_27_23_EKB_20250502_1_S17_R1_001.fastq.gz;Melanocytes_27_23_EKB_20250502_1_S17_R2_001.fastq.gz,500,9.7,16,183,0.42,TRUE,rep1,Melanocytes_27_23_EKB_20250502_1_S17_R1_001.fastq.gz,Melanocytes_27_23_EKB_20250502_1_S17_R2_001.fastq.gz
Melanocytes_27_23_EKB_20250502_2,EKB_20250502,Melanocytes_27_23,27_23,Melanocytes,8,28.01.2025,2.65,06.02.2025,1.9,2,0.95,n. d.,80.18,Melanocytes_27_23_EKB_20250502_2_S21_R1_001.fastq.gz;Melanocytes_27_23_EKB_20250502_2_S21_R2_001.fastq.gz,500,9.7,16,185,0.86,TRUE,rep2,Melanocytes_27_23_EKB_20250502_2_S21_R1_001.fastq.gz,Melanocytes_27_23_EKB_20250502_2_S21_R2_001.fastq.gz
Melanocytes_29_23_EKB_20250506_1,EKB_20250506,Melanocytes_29_23,29_23,Melanocytes,13,28.01.2025,2.28,05.02.2025,1.52,2,0.76,n. d.,75.93,Melanocytes_29_23_EKB_20250506_1_S17_R1_001.fastq.gz;Melanocytes_29_23_EKB_20250506_1_S17_R2_001.fastq.gz,500,9.8,16,196,0.78,TRUE,rep1,Melanocytes_29_23_EKB_20250506_1_S17_R1_001.fastq.gz,Melanocytes_29_23_EKB_20250506_1_S17_R2_001.fastq.gz
Melanocytes_29_23_EKB_20250506_2,EKB_20250506,Melanocytes_29_23,29_23,Melanocytes,13,28.01.2025,2.28,06.02.2025,1.6,2,0.8,n. d.,76.73,Melanocytes_29_23_EKB_20250506_2_S21_R1_001.fastq.gz;Melanocytes_29_23_EKB_20250506_2_S21_R2_001.fastq.gz,500,9.7,16,185,1.45,TRUE,rep2,Melanocytes_29_23_EKB_20250506_2_S21_R1_001.fastq.gz,Melanocytes_29_23_EKB_20250506_2_S21_R2_001.fastq.gz
Melanocytes_30_23_EKB_20250502_1,EKB_20250502,Melanocytes_30_23,30_23,Melanocytes,7,06.03.2025,4,12.03.2025,1.2,1,1.2,n. d.,78.34,Melanocytes_30_23_EKB_20250502_1_S25_R1_001.fastq.gz;Melanocytes_30_23_EKB_20250502_1_S25_R2_001.fastq.gz,500,8.3,16,179,0.54,TRUE,rep1,Melanocytes_30_23_EKB_20250502_1_S25_R1_001.fastq.gz,Melanocytes_30_23_EKB_20250502_1_S25_R2_001.fastq.gz
Melanocytes_30_23_EKB_20250502_2,EKB_20250502,Melanocytes_30_23,30_23,Melanocytes,7,06.03.2025,4,13.03.2025,2,2,1,n. d.,76.17,Melanocytes_30_23_EKB_20250502_2_S29_R1_001.fastq.gz;Melanocytes_30_23_EKB_20250502_2_S29_R2_001.fastq.gz,500,8.3,16,181,0.93,TRUE,rep2,Melanocytes_30_23_EKB_20250502_2_S29_R1_001.fastq.gz,Melanocytes_30_23_EKB_20250502_2_S29_R2_001.fastq.gz
Melanocytes_31_23_EKB_20250507_1,EKB_20250507,Melanocytes_31_23,31_23,Melanocytes,12,06.02.2025,2.75,12.02.2025,1.1,2,0.55,n. d.,77.16,Melanocytes_31_23_EKB_20250507_1_S9_R1_001.fastq.gz;Melanocytes_31_23_EKB_20250507_1_S9_R2_001.fastq.gz,463.5,9.8,16,204,1.72,TRUE,rep1,Melanocytes_31_23_EKB_20250507_1_S9_R1_001.fastq.gz,Melanocytes_31_23_EKB_20250507_1_S9_R2_001.fastq.gz
Melanocytes_31_23_EKB_20250507_2,EKB_20250507,Melanocytes_31_23,31_23,Melanocytes,12,06.02.2025,2.75,13.02.2025,1.35,2,0.67,n. d.,75.64,Melanocytes_31_23_EKB_20250507_2_S13_R1_001.fastq.gz;Melanocytes_31_23_EKB_20250507_2_S13_R2_001.fastq.gz,500,9.7,16,188,1.45,TRUE,rep2,Melanocytes_31_23_EKB_20250507_2_S13_R1_001.fastq.gz,Melanocytes_31_23_EKB_20250507_2_S13_R2_001.fastq.gz
Melanocytes_32_23_EKB_20250507_1,EKB_20250507,Melanocytes_32_23,32_23,Melanocytes,8,20.03.2025,6,26.03.2025,1.1,1,1.1,n. d.,87.98,Melanocytes_32_23_EKB_20250507_1_S17_R1_001.fastq.gz;Melanocytes_32_23_EKB_20250507_1_S17_R2_001.fastq.gz,500,10,16,204,1.22,TRUE,rep1,Melanocytes_32_23_EKB_20250507_1_S17_R1_001.fastq.gz,Melanocytes_32_23_EKB_20250507_1_S17_R2_001.fastq.gz
Melanocytes_32_23_EKB_20250507_2,EKB_20250507,Melanocytes_32_23,32_23,Melanocytes,8,20.03.2025,6,27.03.2025,1.1,1,1.1,n. d.,76.56,Melanocytes_32_23_EKB_20250507_2_S21_R1_001.fastq.gz;Melanocytes_32_23_EKB_20250507_2_S21_R2_001.fastq.gz,500,8.3,16,185,1.02,TRUE,rep2,Melanocytes_32_23_EKB_20250507_2_S21_R1_001.fastq.gz,Melanocytes_32_23_EKB_20250507_2_S21_R2_001.fastq.gz
