task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	b5/58201c	938447	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d6)	COMPLETED	0	2026-08-28 09:49:40.994	21.9s	21s	108.7%	2.9 GB	40.3 GB	264 MB	2.1 MB
28	4e/65ad31	938433	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d14)	COMPLETED	0	2026-08-28 09:49:40.987	24.8s	24s	106.8%	2.7 GB	40.2 GB	298.2 MB	2.2 MB
5	b7/910332	938416	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d3)	COMPLETED	0	2026-08-28 09:49:40.974	29.8s	29s	104.4%	2.7 GB	40.2 GB	369.7 MB	2.2 MB
14	79/d3659d	941658	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d8)	COMPLETED	0	2026-08-28 09:50:05.795	26.7s	26s	107.4%	2.9 GB	40.3 GB	337.3 MB	2.1 MB
27	7d/c5a455	942485	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d13)	COMPLETED	0	2026-08-28 09:50:10.771	27.8s	27s	108.1%	3.3 GB	40.3 GB	314.6 MB	2.2 MB
7	af/c5d621	941224	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d4)	COMPLETED	0	2026-08-28 09:50:02.894	38.8s	38s	107.7%	3.8 GB	40.2 GB	491.8 MB	2.1 MB
37	98/00ff20	944294	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d20)	COMPLETED	0	2026-08-28 09:50:32.550	12.7s	12.3s	677.8%	1.1 GB	1.6 GB	425.9 MB	137.1 MB
16	64/a8e787	945134	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d8)	COMPLETED	0	2026-08-28 09:50:38.533	11.6s	11.1s	672.7%	1.1 GB	1.6 GB	334.4 MB	121.5 MB
4	60/e51d2d	946779	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d2)	COMPLETED	0	2026-08-28 09:50:45.242	12.8s	12.3s	683.7%	1.1 GB	1.6 GB	354 MB	125.9 MB
8	cf/7d6712	945911	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d5)	COMPLETED	0	2026-08-28 09:50:41.678	22.8s	23s	106.3%	2.5 GB	40.3 GB	234.9 MB	2.1 MB
20	63/39aab5	948275	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d9)	COMPLETED	0	2026-08-28 09:50:50.111	17.8s	17.2s	676.5%	1.1 GB	1.7 GB	459.8 MB	184.5 MB
11	95/b53632	951904	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d5)	COMPLETED	0	2026-08-28 09:51:04.507	8.6s	8s	666.1%	1.1 GB	1.7 GB	232 MB	81.5 MB
13	2b/1fc9b4	952708	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d6)	COMPLETED	0	2026-08-28 09:51:07.890	10.1s	9.6s	674.9%	1.1 GB	1.6 GB	261.2 MB	97.7 MB
6	fa/c3f0cf	953824	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d3)	COMPLETED	0	2026-08-28 09:51:13.085	13.8s	13.3s	686.9%	1.1 GB	1.6 GB	366.7 MB	134.3 MB
21	c4/de64d7	954985	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d10)	COMPLETED	0	2026-08-28 09:51:18.022	12.5s	11.9s	662.6%	1.1 GB	1.6 GB	299.1 MB	99.9 MB
18	7c/06bd9f	950777	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d10)	COMPLETED	0	2026-08-28 09:50:58.017	32.8s	32s	108.4%	3.1 GB	40.2 GB	300.8 MB	2.1 MB
2	17/856717	957594	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d1)	COMPLETED	0	2026-08-28 09:51:30.830	8.8s	8.2s	643.2%	1.1 GB	1.6 GB	217.6 MB	68 MB
34	02/5877df	956633	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d17)	COMPLETED	0	2026-08-28 09:51:26.929	14.9s	14.3s	682.4%	1.1 GB	1.6 GB	402.6 MB	144.5 MB
32	f4/e33c4d	960246	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d16)	COMPLETED	0	2026-08-28 09:51:41.809	10.4s	9.9s	682.7%	1.1 GB	1.7 GB	237.9 MB	93.6 MB
31	ef/495181	959707	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d15)	COMPLETED	0	2026-08-28 09:51:39.656	13.7s	13.2s	675.3%	1.1 GB	1.7 GB	348.3 MB	125 MB
57	c4/fc93ea	962222	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d27)	COMPLETED	0	2026-08-28 09:51:52.237	12.5s	11.9s	665.8%	1.1 GB	1.6 GB	320.3 MB	112.9 MB
182	a1/3aeb29	948307	NFCORE_SMRNASEQ:MIRNA_QUANT:SEQCLUSTER_COLLAPSE (d8)	COMPLETED	0	2026-08-28 09:50:50.132	1m 16s	1m 15s	102.2%	570.9 MB	3 GB	206.1 MB	61.6 MB
15	48/1709de	962580	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d7)	COMPLETED	0	2026-08-28 09:51:53.351	14.4s	13.8s	666.3%	1.1 GB	1.7 GB	389.4 MB	125.4 MB
180	39/c30fb8	947127	NFCORE_SMRNASEQ:MIRNA_QUANT:SEQCLUSTER_COLLAPSE (d20)	COMPLETED	0	2026-08-28 09:50:46.293	1m 24s	1m 23s	102.3%	578.9 MB	3 GB	222.2 MB	62.2 MB
41	8c/f62cf5	957434	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d20)	COMPLETED	0	2026-08-28 09:51:30.507	41.9s	42s	104.9%	2.8 GB	40.3 GB	428.8 MB	2.1 MB
24	74/b83e11	967090	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTP (d13)	COMPLETED	0	2026-08-28 09:52:12.371	9.8s	9.2s	669.8%	1.1 GB	1.6 GB	311.7 MB	107.6 MB
40	0e/d8ff13	964698	NFCORE_SMRNASEQ:FASTQ_FASTQC_UMITOOLS_FASTP:FASTQC_RAW (d19)	COMPLETED	0	2026-08-28 09:52:04.743	27.9s	27s	106.0%	2.6 GB	40.3 GB	332.1 MB	2.1 MB
